StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,scam,Q181,Q181_10_TEXT,sus,sus_10_TEXT,Q100_First Click,Q100_Last Click,Q100_Page Submit,Q100_Click Count,Q102,Q161,Q161_10_TEXT,Q159,Q159_10_TEXT,Q105_First Click,Q105_Last Click,Q105_Page Submit,Q105_Click Count,Q107,Q167,Q167_10_TEXT,Q165,Q165_10_TEXT,Q110_First Click,Q110_Last Click,Q110_Page Submit,Q110_Click Count,Q112,Q187,Q187_10_TEXT,Q185,Q185_10_TEXT,Q115_First Click,Q115_Last Click,Q115_Page Submit,Q115_Click Count,Q117,Q171,Q171_10_TEXT,Q182,Q182_10_TEXT,Q120_First Click,Q120_Last Click,Q120_Page Submit,Q120_Click Count,Q122,Q175,Q175_10_TEXT,Q173,Q173_10_TEXT,Q125_First Click,Q125_Last Click,Q125_Page Submit,Q125_Click Count,Q127,Q179,Q179_10_TEXT,Q177,Q177_10_TEXT,Q130_First Click,Q130_Last Click,Q130_Page Submit,Q130_Click Count,Q132,Q183,Q183_10_TEXT,Q181,Q181_10_TEXT,Q135_First Click,Q135_Last Click,Q135_Page Submit,Q135_Click Count,Q137,Q191,Q191_10_TEXT,Q189,Q189_10_TEXT,Q140_First Click,Q140_Last Click,Q140_Page Submit,Q140_Click Count,Q142,Q195,Q195_10_TEXT,Q193,Q193_10_TEXT,year,gender,Q149,Q174,Q150
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How likely do you think this is to be a scam email?,What part(s) of the email made you think it was trustworthy? - Selected Choice,What part(s) of the email made you think it was trustworthy? - Other - Text,What part(s) of the email made you think it was suspicious? - Selected Choice,What part(s) of the email made you think it was suspicious? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How likely do you think this is to be a scam email?,What part(s) of the email made you think it was trustworthy? - Selected Choice,What part(s) of the email made you think it was trustworthy? - Other - Text,What part(s) of the email made you think it was suspicious? - Selected Choice,What part(s) of the email made you think it was suspicious? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How likely do you think this is to be a scam email?,What part(s) of the email made you think it was trustworthy? - Selected Choice,What part(s) of the email made you think it was trustworthy? - Other - Text,What part(s) of the email made you think it was suspicious? - Selected Choice,What part(s) of the email made you think it was suspicious? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How likely do you think this is to be a scam email?,What part(s) of the email made you think it was trustworthy? - Selected Choice,What part(s) of the email made you think it was trustworthy? - Other - Text,What part(s) of the email made you think it was suspicious? - Selected Choice,What part(s) of the email made you think it was suspicious? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How likely do you think this is to be a scam email?,What part(s) of the email made you think it was trustworthy? - Selected Choice,What part(s) of the email made you think it was trustworthy? - Other - Text,What part(s) of the email made you think it was suspicious? - Selected Choice,What part(s) of the email made you think it was suspicious? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How likely do you think this is to be a scam email?,What part(s) of the email made you think it was trustworthy? - Selected Choice,What part(s) of the email made you think it was trustworthy? - Other - Text,What part(s) of the email made you think it was suspicious? - Selected Choice,What part(s) of the email made you think it was suspicious? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How likely do you think this is to be a scam email?,What part(s) of the email made you think it was trustworthy? - Selected Choice,What part(s) of the email made you think it was trustworthy? - Other - Text,What part(s) of the email made you think it was suspicious? - Selected Choice,What part(s) of the email made you think it was suspicious? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How likely do you think this is to be a scam email?,What part(s) of the email made you think it was trustworthy? - Selected Choice,What part(s) of the email made you think it was trustworthy? - Other - Text,What part(s) of the email made you think it was suspicious? - Selected Choice,What part(s) of the email made you think it was suspicious? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How likely do you think this is to be a scam email?,What part(s) of the email made you think it was trustworthy? - Selected Choice,What part(s) of the email made you think it was trustworthy? - Other - Text,What part(s) of the email made you think it was suspicious? - Selected Choice,What part(s) of the email made you think it was suspicious? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How likely do you think this is to be a scam email?,What part(s) of the email made you think it was trustworthy? - Selected Choice,What part(s) of the email made you think it was trustworthy? - Other - Text,What part(s) of the email made you think it was suspicious? - Selected Choice,What part(s) of the email made you think it was suspicious? - Other - Text,What is your classification?,What is your gender?,How would you rate your familiarity with information security?,Please provide your email address to be entered into the raffle.,Any feedback you would like to give?
"{""ImportId"":""startDate"",""timeZone"":""Canada/East-Saskatchewan""}","{""ImportId"":""endDate"",""timeZone"":""Canada/East-Saskatchewan""}",,,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Canada/East-Saskatchewan""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID97""}","{""ImportId"":""QID181""}","{""ImportId"":""QID181_10_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID99_10_TEXT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID159""}","{""ImportId"":""QID159_10_TEXT""}","{""ImportId"":""QID158""}","{""ImportId"":""QID158_10_TEXT""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID107""}","{""ImportId"":""QID165""}","{""ImportId"":""QID165_10_TEXT""}","{""ImportId"":""QID164""}","{""ImportId"":""QID164_10_TEXT""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID112""}","{""ImportId"":""QID175""}","{""ImportId"":""QID175_10_TEXT""}","{""ImportId"":""QID174""}","{""ImportId"":""QID174_10_TEXT""}","{""ImportId"":""QID115_FIRST_CLICK""}","{""ImportId"":""QID115_LAST_CLICK""}","{""ImportId"":""QID115_PAGE_SUBMIT""}","{""ImportId"":""QID115_CLICK_COUNT""}","{""ImportId"":""QID117""}","{""ImportId"":""QID167""}","{""ImportId"":""QID167_10_TEXT""}","{""ImportId"":""QID182""}","{""ImportId"":""QID182_10_TEXT""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID122""}","{""ImportId"":""QID169""}","{""ImportId"":""QID169_10_TEXT""}","{""ImportId"":""QID168""}","{""ImportId"":""QID168_10_TEXT""}","{""ImportId"":""QID125_FIRST_CLICK""}","{""ImportId"":""QID125_LAST_CLICK""}","{""ImportId"":""QID125_PAGE_SUBMIT""}","{""ImportId"":""QID125_CLICK_COUNT""}","{""ImportId"":""QID127""}","{""ImportId"":""QID171""}","{""ImportId"":""QID171_10_TEXT""}","{""ImportId"":""QID170""}","{""ImportId"":""QID170_10_TEXT""}","{""ImportId"":""QID130_FIRST_CLICK""}","{""ImportId"":""QID130_LAST_CLICK""}","{""ImportId"":""QID130_PAGE_SUBMIT""}","{""ImportId"":""QID130_CLICK_COUNT""}","{""ImportId"":""QID132""}","{""ImportId"":""QID173""}","{""ImportId"":""QID173_10_TEXT""}","{""ImportId"":""QID172""}","{""ImportId"":""QID172_10_TEXT""}","{""ImportId"":""QID135_FIRST_CLICK""}","{""ImportId"":""QID135_LAST_CLICK""}","{""ImportId"":""QID135_PAGE_SUBMIT""}","{""ImportId"":""QID135_CLICK_COUNT""}","{""ImportId"":""QID137""}","{""ImportId"":""QID178""}","{""ImportId"":""QID178_10_TEXT""}","{""ImportId"":""QID177""}","{""ImportId"":""QID177_10_TEXT""}","{""ImportId"":""QID140_FIRST_CLICK""}","{""ImportId"":""QID140_LAST_CLICK""}","{""ImportId"":""QID140_PAGE_SUBMIT""}","{""ImportId"":""QID140_CLICK_COUNT""}","{""ImportId"":""QID142""}","{""ImportId"":""QID180""}","{""ImportId"":""QID180_10_TEXT""}","{""ImportId"":""QID179""}","{""ImportId"":""QID179_10_TEXT""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}",,"{""ImportId"":""QID150_TEXT""}"
10/11/20 12:25,10/11/20 12:29,Redacted,Redacted,100,217,TRUE,10/11/20 12:29,R_eG7qNkAL3kdkRYB,,,,,32.96359253,-96.74680328,anonymous,EN,,,,,,,,,,11.666,11.666,11.956,1,Somewhat likely,"Subject,Email Body,Structure",,"Email Address,Company Name,Structure",,,,,,,,,,,0,0,9.639,0,Extremely likely,"Email Address,Email Body,Company Name,Salary,Structure",,"Subject,Email Address,Email Body,Company Name,Salary,Structure",,,,,,,,,,,0,0,15.012,0,Somewhat likely,"Subject,Email Address,Email Body",,"Salary,Structure",,,,,,,,,,,0,0,8.612,0,Extremely likely,None of the above,,"Email Address,Email Body,Structure,Other",Asking for alternative contact information,0,0,9.763,0,Extremely unlikely,"Subject,Email Address,Email Body,Company Name,Structure",,None of the above,,,,,,,,,,,Sophomore,Male,Moderately familiar,Redacted,
10/11/20 12:26,10/11/20 12:29,,,100,203,TRUE,10/11/20 12:29,R_1rxlnIXaGqZ1jZt,,,,,33.03259277,-96.7858963,anonymous,EN,0,0,15.105,0,Neither likely nor unlikely,None of the above,,"Email Body,Salary",,,,,,,,,,,0,0,7.568,0,Extremely likely,None of the above,,"Subject,Email Address,Email Body,Company Name,Salary,Structure",,,,,,,,,,,0,0,15.108,0,Somewhat unlikely,Email Address,,Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,29.672,0,Extremely likely,None of the above,,"Email Address,Email Body",,0,0,15.107,0,Somewhat unlikely,Email Address,,"Email Body,None of the above",,Sophomore,Male,Very familiar,,
10/11/20 12:26,10/11/20 12:30,,,100,250,TRUE,10/11/20 12:30,R_2DZzW2pX4Xbl3wG,,,,,33.07800293,-97.06729889,anonymous,EN,0,0,15.106,0,Extremely unlikely,"Subject,Email Address,Email Body,Company Name,Salary,Structure",,None of the above,,0,0,15.006,0,Somewhat likely,None of the above,,"Subject,Email Address,Email Body,Structure",,,,,,,,,,,,,,,,,,,,0,0,15.007,0,Somewhat likely,"Subject,Email Address,Email Body,Structure",,"Subject,Email Address,Email Body,Company Name,Salary,Structure",,,,,,,,,,,0,0,15.009,0,Neither likely nor unlikely,"None of the above,Other",CC,"Subject,Email Body,Structure",,0,0,15.106,0,Somewhat likely,Company Name,,"Subject,Email Address,Email Body,Structure",,,,,,,,,,,,,,,,,,,,Freshman,Male,Very familiar,,
10/11/20 12:25,10/11/20 12:30,,,100,271,TRUE,10/11/20 12:30,R_u3NwsaX7Slnixjj,,,,,33.03909302,-97.07640076,anonymous,EN,,,,,,,,,,,,,,,,,,,0,0,7.304,0,Extremely likely,"Subject,Email Address",,"Email Body,Salary,Structure",,0,0,9.04,0,Somewhat likely,"Company Name,None of the above",,"Email Body,Salary,Other",Nepalese heart surgeon emailing UTD students? why?,,,,,,,,,,0,0,15.009,0,Somewhat likely,"Email Body,Salary",,"Email Body,Salary",,,,,,,,,,,,,,,,,,,,0,0,20.771,0,Extremely unlikely,"Subject,Email Address,Email Body,Company Name,Structure",,None of the above,,0,0,15.011,0,Extremely unlikely,Other,I'm 99% sure this is a photoshopped version of an email my prof sent me...,None of the above,,Freshman,Female,Moderately familiar,,
10/11/20 12:26,10/11/20 12:30,,,100,273,TRUE,10/11/20 12:30,R_W0YoxTW6SARQkTv,,,,,17.38409424,78.45639038,anonymous,EN,,,,,,,,,,,,,,,,,,,0,0,12.514,0,Somewhat likely,"Email Body,Structure",,"Email Body,Salary,Structure",,0,0,15.121,0,Somewhat likely,Structure,,"Email Address,Email Body,Company Name,Salary,Structure",,,,,,,,,,,0,0,9.366,0,Extremely likely,None of the above,,"Subject,Email Address,Email Body,Company Name,Salary,Structure",,,,,,,,,,,0,0,12.876,0,Extremely likely,None of the above,,"Subject,Email Address,Email Body,Company Name,Structure",,9.526,9.526,18.754,1,Somewhat unlikely,"Subject,Email Address,Email Body,Company Name,Structure",,None of the above,,,,,,,,,,,Freshman,Male,Moderately familiar,,
10/11/20 12:27,10/11/20 12:31,,,100,183,TRUE,10/11/20 12:31,R_10PCq8V3tpef8TN,,,,,25.78059387,-80.18260193,anonymous,EN,0,0,15.109,0,Somewhat likely,None of the above,,"Subject,Salary,Structure",,,,,,,,,,,0,0,15.007,0,Extremely likely,Email Address,,Salary,,,,,,,,,,,0,0,15.111,0,Somewhat likely,None of the above,,"Subject,Email Address,Email Body",,0,0,15.009,0,Somewhat likely,"Email Body,Company Name",,Salary,,,,,,,,,,,0,0,15.108,0,Extremely likely,Company Name,,"Email Body,Salary,Structure",,,,,,,,,,,,,,,,,,,,Sophomore,Male,Not familiar at all,,
10/11/20 12:29,10/11/20 12:32,,,100,134,TRUE,10/11/20 12:32,R_1GODO0Wb45Uscoy,,,,,33.0809021,-96.72409821,anonymous,EN,,,,,,,,,,0,0,4.177,0,Extremely likely,None of the above,,Email Address,,,,,,,,,,,,,,,,,,,,0,0,3.192,0,Somewhat unlikely,Other,seen this one before,None of the above,,,,,,,,,,,7.064,7.064,7.754,1,Extremely likely,None of the above,,"Email Address,Email Body,Structure",,,,,,,,,,,0,0,7.592,0,Extremely unlikely,Email Address,,None of the above,,0,0,3.723,0,Extremely likely,None of the above,,Email Address,,Sophomore,Male,Not familiar at all,,n/a
10/11/20 12:28,10/11/20 12:32,,,100,274,TRUE,10/11/20 12:32,R_1qfgN6DP2nUCVtf,,,,,32.96359253,-96.74680328,anonymous,EN,,,,,,,,,,0,0,15.014,0,Extremely likely,"Email Address,Email Body,Company Name,Structure",,"Subject,Email Address,Email Body,Structure",,,,,,,,,,,1.364,7.8,15.117,2,Extremely likely,"Email Body,Structure",,"Email Body,Structure",,,,,,,,,,,,,,,,,,,,0,0,11.685,0,Extremely likely,None of the above,,"Subject,Email Address,Email Body,Structure",,,,,,,,,,,2.32,29.339,30.116,5,Somewhat likely,None of the above,,None of the above,,0.964,12.478,15.114,2,Extremely unlikely,"Subject,Email Body,Structure",,None of the above,,Freshman,Female,Extremely familiar,,
